Buy Signals:
Date,Close
2020-07-21,6156.2998046875
2020-07-22,6075.10009765625
2020-07-23,6094.5
2020-07-24,6024.0
2020-07-27,6044.2001953125
2020-07-28,6020.5
2020-08-06,6042.2001953125
2020-08-07,6004.7998046875
2020-08-10,6110.2001953125
2020-08-11,6138.7001953125
2020-08-12,6132.0
2020-08-14,6126.2001953125
2020-08-18,6123.39990234375
2020-08-19,6167.60009765625
2020-08-20,6120.0
2020-10-07,6036.39990234375
2021-01-05,6681.89990234375
2021-01-06,6607.10009765625
2021-01-07,6712.0
2021-01-08,6757.89990234375
2021-01-11,6697.2001953125
2021-01-12,6679.10009765625
2021-01-13,6686.60009765625
2021-01-14,6715.2998046875
2021-01-15,6715.39990234375
2021-01-20,6770.39990234375
2021-01-21,6823.7001953125
2021-02-02,6762.60009765625
2021-02-03,6824.60009765625
2021-02-04,6765.5
2021-02-05,6840.5
2021-02-08,6880.7001953125
2021-02-09,6821.2001953125
2021-02-10,6856.89990234375
2021-03-26,6824.2001953125
2021-04-07,6928.0
2021-05-04,7067.89990234375
2021-05-05,7095.7998046875
2021-05-06,7061.7001953125
2021-05-07,7080.7998046875
2021-05-10,7172.7998046875
2021-05-11,7097.0
2021-05-12,7044.89990234375
2021-05-25,7115.2001953125
2021-05-26,7092.5
2021-06-30,7313.0
2021-07-21,7308.7001953125
2021-07-22,7386.39990234375
2021-07-23,7394.39990234375
2021-07-26,7394.2998046875
2021-07-27,7431.39990234375
2021-07-29,7417.39990234375
2021-09-06,7528.5
2021-09-07,7530.2998046875
2021-09-08,7512.0
2021-09-09,7369.5
2021-09-10,7406.60009765625
2021-09-13,7425.2001953125
2021-09-14,7437.2998046875
2021-09-15,7417.0
2021-09-16,7460.2001953125
2021-09-17,7403.7001953125
2021-10-18,7381.10009765625
2021-11-05,7456.89990234375
2021-11-08,7452.2001953125
2021-11-23,7410.60009765625
2021-11-25,7407.2998046875
2023-05-19,7279.5
2023-12-04,7124.7001953125
2023-12-06,7178.39990234375
2023-12-07,7173.2998046875
2024-02-19,7665.10009765625
2024-02-20,7659.0
2024-02-21,7597.7998046875
2024-02-22,7611.2001953125
2024-02-23,7643.60009765625
2024-02-26,7652.7998046875
2024-02-27,7663.0
2024-02-28,7660.39990234375
2024-02-29,7698.7001953125
2024-03-01,7745.60009765625
2024-03-04,7735.7998046875
2024-03-05,7724.2001953125
2024-03-14,7713.60009765625
2024-03-15,7670.2998046875
2024-03-18,7675.7998046875
2024-03-19,7703.2001953125
2024-03-20,7695.7998046875
2024-03-21,7782.0
2024-03-22,7770.60009765625
2024-03-25,7811.89990234375
2024-03-26,7780.2001953125
2024-03-27,7819.60009765625
2024-03-28,7896.89990234375

Sell Signals:
Date,Close
2020-09-30,5815.89990234375
2020-10-01,5872.89990234375
2020-10-02,5791.5
2020-10-05,5941.60009765625
2021-11-11,7381.89990234375
2021-11-17,7369.89990234375
2021-11-18,7379.2001953125
2021-11-22,7353.10009765625
2022-06-09,7019.7001953125
2022-06-10,6932.0
2023-05-24,7213.7998046875
2023-05-25,7138.2001953125
2023-05-26,7154.7998046875
2023-05-29,7217.39990234375
2023-05-30,7209.2998046875
2023-05-31,7091.2998046875
2023-06-06,7129.60009765625
2023-11-29,7035.2998046875
