type,price,quantity,date,balance,profit,Metric,Value
long,10058.76953125,0.19883147673147458,2020-06-30,98000.0,-2000.0,,
full_exit,10390.83984375,0.19883147673147458,2020-07-13,100066.02603061305,66.02603061305126,,
long,10402.08984375,0.19239600413706637,2020-07-28,98064.70551000079,-1935.2944899992144,,
full_exit,10782.8203125,0.19239600413706637,2020-08-11,100139.27705145378,139.27705145378422,,
long,11326.509765625,0.1768228326706044,2020-10-01,98136.4915104247,-1863.5084895752952,,
full_exit,11876.259765625,0.1768228326706044,2020-10-12,100236.48540371444,236.4854037144396,,
long,13072.4296875,0.1533555548584234,2021-01-12,98231.75569564015,-1768.2443043598469,,
full_exit,13543.0595703125,0.1533555548584234,2021-01-22,100308.6591105261,308.6591105261032,,
short,12609.16015625,0.1591044254613674,2021-03-08,98302.48592831558,-1697.514071684418,,
partial_exit,12609.16015625,0.0795522127306837,2021-03-08,99305.57251942085,-694.4274805791501,,
partial_exit,13073.8203125,0.03977610636534185,2021-03-09,99825.59818677221,-174.40181322778517,,
full_exit,13068.830078125,0.03977610636534185,2021-03-10,100345.42536203029,345.4253620302916,,
long,13215.240234375,0.1518631876263822,2021-03-19,98338.51685478969,-1661.4831452103099,,
full_exit,13059.650390625,0.1518631876263822,2021-03-29,100321.79699239614,321.79699239613547,,
long,13246.8701171875,0.1514649062078913,2021-03-31,98315.3610525482,-1684.6389474517928,,
full_exit,13850.0,0.1514649062078913,2021-04-12,100413.1500035275,413.15000352749485,,
long,14082.5498046875,0.14260649015436694,2021-04-29,98404.88700345694,-1595.1129965430591,,
full_exit,13401.8603515625,0.14260649015436694,2021-05-10,100316.07926973223,316.0792697322322,,
short,13303.6396484375,0.15080997669914228,2021-05-18,98309.75768433759,-1690.2423156624136,,
partial_exit,13303.6396484375,0.07540498834957114,2021-05-18,99312.91847703491,-687.0815229650907,,
partial_exit,13299.740234375,0.03770249417478557,2021-05-19,99814.35185574759,-185.6481442524091,,
full_exit,13535.740234375,0.03770249417478557,2021-05-20,100324.68302308553,324.68302308552666,,
long,14631.9501953125,0.1371309793758396,2021-07-21,98318.18936262382,-1681.8106373761839,,
full_exit,14681.0703125,0.1371309793758396,2021-08-02,100331.4189128625,331.4189128625003,,
long,14761.2900390625,0.13593855096317126,2021-08-03,98324.79053460524,-1675.209465394757,,
full_exit,14822.900390625,0.13593855096317126,2021-08-13,100339.79413477823,339.79413477823255,,
long,14793.759765625,0.13565151215707758,2021-08-16,98332.99825208267,-1667.0017479173257,,
full_exit,14945.8095703125,0.13565151215707758,2021-08-26,100360.41992070728,360.41992070728156,,
short,14448.580078125,0.13892080658175113,2021-09-30,98353.21152229313,-1646.7884777068684,,
partial_exit,14448.580078125,0.06946040329087556,2021-09-30,99356.8157215002,-643.1842784998007,,
partial_exit,14566.7001953125,0.03473020164543778,2021-10-01,99862.72015659204,-137.27984340795956,,
full_exit,14255.48046875,0.03473020164543778,2021-10-04,100357.81586782433,357.8158678243344,,
short,14433.830078125,0.13905916215533157,2021-10-05,98350.65955046784,-1649.3404495321593,,
partial_exit,14433.830078125,0.06952958107766578,2021-10-05,99354.23770914608,-645.7622908539197,,
partial_exit,14501.91015625,0.03476479053883289,2021-10-06,99858.39357814108,-141.6064218589163,,
full_exit,14654.01953125,0.03476479053883289,2021-10-07,100367.83749769695,367.83749769694987,,
short,14486.2001953125,0.13857027535788766,2021-10-11,98360.48074774301,-1639.519252256985,,
partial_exit,14486.2001953125,0.06928513767894383,2021-10-11,99364.15912271998,-635.8408772800176,,
partial_exit,14465.919921875,0.034642568839471914,2021-10-12,99865.29574943983,-134.7042505601712,,
full_exit,14571.6396484375,0.034642568839471914,2021-10-13,100370.0947790648,370.09477906480606,,
long,15782.830078125,0.12718896963628562,2021-11-29,98362.69288348351,-1637.3071165164874,,
full_exit,15517.3701171875,0.12718896963628562,2021-12-09,100336.33120015348,336.3312001534796,,
long,15565.580078125,0.128920773522807,2021-12-15,98329.6045761504,-1670.3954238495935,,
full_exit,15871.259765625,0.128920773522807,2021-12-27,100375.73966191619,375.7396619161882,,
long,15781.7197265625,0.12720507194532413,2021-12-28,98368.22486867786,-1631.775131322138,,
full_exit,14935.900390625,0.12720507194532413,2022-01-07,100268.14715243551,268.1471524355147,,
short,14942.830078125,0.13420235206879497,2022-01-10,98262.78420938681,-1737.2157906131906,,
partial_exit,14942.830078125,0.06710117603439748,2022-01-10,99265.46568091116,-734.534319088838,,
partial_exit,15153.4501953125,0.03355058801719874,2022-01-11,99773.87284545322,-226.12715454677527,,
full_exit,15188.3896484375,0.03355058801719874,2022-01-12,100283.45224919263,283.45224919263273,,
short,14340.259765625,0.13986281125755035,2022-01-19,98277.78320420878,-1722.216795791217,,
partial_exit,14340.259765625,0.06993140562877517,2022-01-19,99280.61772670072,-719.3822732992849,,
partial_exit,14154.01953125,0.034965702814387586,2022-01-20,99775.52296725944,-224.47703274055675,,
full_exit,13768.919921875,0.034965702814387586,2022-01-21,100256.96292932282,256.96292932282086,,
short,13855.1298828125,0.14472179442170818,2022-01-24,98251.82367073637,-1748.1763292636315,,
partial_exit,13855.1298828125,0.07236089721085409,2022-01-24,99254.3933000296,-745.6066999704053,,
partial_exit,13539.2900390625,0.036180448605427046,2022-01-25,99744.25088744187,-255.74911255812913,,
full_exit,13542.1201171875,0.036180448605427046,2022-01-26,100234.21086835029,234.21086835028837,,
short,13352.7802734375,0.15013234519816793,2022-01-27,98229.52665098329,-1770.4733490167127,,
