type,price,quantity,date,balance,profit,Metric,Value
long,183.25,10.914051841746248,2020-05-29,98000.0,0.0,,
partial_exit,183.25,5.457025920873124,2020-05-29,99000.0,0.0,,
full_exit,182.8300018310547,5.457025920873124,2020-06-01,99997.70805910535,-2.2919408946472686,,
long,184.91000366210935,10.815824571809934,2020-06-02,97997.75389792325,0.0,,
partial_exit,184.91000366210935,5.407912285904967,2020-06-02,98997.7309785143,0.0,,
partial_exit,185.36000061035156,2.7039561429524834,2020-06-03,99498.93629082234,0.0,,
full_exit,182.9199981689453,2.7039561429524834,2020-06-04,99993.54394354012,-4.1641155652323505,,
long,187.1999969482422,10.683071108295664,2020-06-05,97993.67306466932,0.0,,
partial_exit,187.1999969482422,5.341535554147832,2020-06-05,98993.60850410472,0.0,,
partial_exit,188.36000061035156,2.670767777073916,2020-06-08,99496.67432422447,0.0,,
full_exit,189.8000030517578,2.670767777073916,2020-06-09,100003.58605646364,10.042112923518289,,
long,196.83999633789065,10.160901027939461,2020-06-10,98003.51433533436,0.0,,
partial_exit,196.83999633789065,5.080450513969731,2020-06-10,99003.55019589899,0.0,,
full_exit,186.27000427246097,5.080450513969731,2020-06-11,99949.88573484216,-53.700321621479816,,
long,187.7400054931641,10.647691787617584,2020-06-12,97950.88802014531,0.0,,
partial_exit,187.7400054931641,5.323845893808792,2020-06-12,98950.38687749373,0.0,,
partial_exit,188.94000244140625,2.661922946904396,2020-06-15,99453.33060558068,0.0,,
full_exit,193.57000732421875,2.661922946904396,2020-06-16,99968.59904990946,18.713315067303483,,
long,194.2400054931641,10.293306859840227,2020-06-17,97969.22706891128,0.0,,
partial_exit,194.2400054931641,5.146653429920113,2020-06-17,98968.91305941038,0.0,,
partial_exit,196.32000732421875,2.5733267149600567,2020-06-18,99474.10857893895,0.0,,
full_exit,195.1499938964844,2.5733267149600567,2020-06-19,99976.29327165706,7.694221747602569,,
long,211.6000061035156,9.449554857077674,2020-07-20,97976.76740622392,0.0,,
partial_exit,211.6000061035156,4.724777428538837,2020-07-20,98976.5303389405,0.0,,
full_exit,208.75,4.724777428538837,2020-07-21,99962.82762714798,-13.465644509080448,,
long,203.8500061035156,9.807488313381418,2020-07-27,97963.57107460503,0.0,,
partial_exit,203.8500061035156,4.903744156690709,2020-07-27,98963.19935087652,0.0,,
full_exit,202.02000427246097,4.903744156690709,2020-07-28,99953.85376636223,-8.973860785758006,,
long,216.5399932861328,9.231906979352738,2020-08-03,97954.77669103499,0.0,,
partial_exit,216.5399932861328,4.615953489676369,2020-08-03,98954.31522869862,0.0,,
full_exit,213.2899932861328,4.615953489676369,2020-08-04,99938.85191752079,-15.001848841435276,,
long,212.94000244140625,9.386573755207928,2020-08-05,97940.07487917038,0.0,,
partial_exit,212.94000244140625,4.693286877603964,2020-08-05,98939.46339834559,0.0,,
partial_exit,216.3500061035156,2.346643438801982,2020-08-06,99447.15972065317,0.0,,
full_exit,212.47999572753903,2.346643438801982,2020-08-07,99945.77450850388,6.9225909830856835,,
long,208.25,9.598633806338908,2020-08-10,97946.8590183338,0.0,,
partial_exit,208.25,4.799316903169454,2020-08-10,98946.31676341883,0.0,,
full_exit,203.3800048828125,4.799316903169454,2020-08-11,99922.4018586196,-23.372649884273415,,
long,209.19000244140625,9.55326743079968,2020-08-12,97923.95382144721,0.0,,
partial_exit,209.19000244140625,4.77663371539984,2020-08-12,98923.17784003342,0.0,,
full_exit,208.6999969482422,4.77663371539984,2020-08-13,99920.06128186024,-2.3405767593649216,,
long,208.8999938964844,9.566305811514129,2020-08-14,97921.66005622303,0.0,,
partial_exit,208.8999938964844,4.783152905757064,2020-08-14,98920.86066904163,0.0,,
partial_exit,210.27999877929688,2.391576452878532,2020-08-17,99423.76136263352,0.0,,
full_exit,211.4900054931641,2.391576452878532,2020-08-18,99929.55587979013,9.494597929893644,,
long,212.4600067138672,9.4069050853765,2020-10-01,97930.96476219433,0.0,,
partial_exit,212.4600067138672,4.70345254268825,2020-10-01,98930.26032099224,0.0,,
full_exit,206.19000244140625,4.70345254268825,2020-10-02,99900.06521225217,-29.49066753796069,,
long,210.5800018310547,9.488086650545341,2020-10-08,97902.06390800713,0.0,,
partial_exit,210.5800018310547,4.744043325272671,2020-10-08,98901.06456012964,0.0,,
partial_exit,215.80999755859375,2.3720216626363353,2020-10-09,99412.97054935212,0.0,,
full_exit,221.3999938964844,2.3720216626363353,2020-10-12,99938.13613098214,38.07091872996534,,
long,213.25,9.372861536317199,2020-10-27,97939.37340836249,0.0,,
partial_exit,213.25,4.6864307681585995,2020-10-27,98938.7547696723,0.0,,
full_exit,202.67999267578125,4.6864307681585995,2020-10-28,99888.60052343825,-49.535607543890364,,
short,211.0800018310547,9.46452526595936,2020-11-18,97890.82851296949,0.0,,
full_exit,214.07000732421875,9.46452526595936,2020-11-30,99916.89950597366,28.298982535416144,,
long,216.2100067138672,9.24257864144132,2020-12-01,97918.56151585419,0.0,,
partial_exit,216.2100067138672,4.62128932072066,2020-12-01,98917.73051091393,0.0,,
full_exit,215.3699951171875,4.62128932072066,2020-12-02,99913.01756935264,-3.88193662102276,,
long,214.2400054931641,9.32720453767358,2020-12-03,97914.75721796558,0.0,,
partial_exit,214.2400054931641,4.66360226883679,2020-12-03,98913.88739365911,0.0,,
partial_exit,214.36000061035156,2.331801134418395,2020-12-04,99413.73228625626,0.0,,
full_exit,214.2899932861328,2.331801134418395,2020-12-07,99913.41393569537,0.39636634272756055,,
long,216.0099945068359,9.250813987917905,2020-12-08,97915.14565698146,0.0,,
partial_exit,216.0099945068359,4.625406993958952,2020-12-08,98914.27979633842,0.0,,
full_exit,211.8000030517578,4.625406993958952,2020-12-09,99893.94101177454,-19.47292392082454,,
long,213.2599945068359,9.368277556489621,2020-12-11,97896.06219153905,0.0,,
partial_exit,213.2599945068359,4.684138778244811,2020-12-11,98895.0016016568,0.0,,
partial_exit,214.1999969482422,2.3420693891224054,2020-12-14,99396.67285765939,0.0,,
full_exit,214.1300048828125,2.3420693891224054,2020-12-15,99898.18018738806,4.239175613518455,,
long,219.27999877929688,9.111472158291516,2020-12-16,97900.2165836403,0.0,,
partial_exit,219.27999877929688,4.555736079145758,2020-12-16,98899.19838551417,0.0,,
partial_exit,219.4199981689453,2.277868039572879,2020-12-17,99399.00818658635,0.0,,
full_exit,218.58999633789065,2.277868039572879,2020-12-18,99896.92735301478,-1.2528343732847134,,
long,222.58999633789065,8.975868547243397,2020-12-21,97898.98880595448,0.0,,
partial_exit,222.58999633789065,4.487934273621699,2020-12-21,98897.95807948463,0.0,,
partial_exit,223.94000244140625,2.2439671368108494,2020-12-22,99400.47208558048,0.0,,
full_exit,221.02000427246097,2.2439671368108494,2020-12-23,99896.43371174567,-0.49364126910222694,,
short,212.25,9.413091515829981,2021-01-06,97898.50503751077,0.0,,
full_exit,216.44000244140625,9.413091515829981,2021-01-19,99935.8745881782,39.44087643251987,,
long,225.9499969482422,8.84583987058608,2021-01-22,97937.15709641462,0.0,,
partial_exit,225.9499969482422,4.42291993529304,2021-01-22,98936.5158422964,0.0,,
partial_exit,229.52999877929688,2.21145996764652,2021-01-25,99444.11224597077,0.0,,
full_exit,232.3300018310547,2.21145996764652,2021-01-26,99957.90074430339,22.026156125197303,,
long,237.7100067138672,8.410070920121024,2021-03-16,97958.74272941732,0.0,,
partial_exit,237.7100067138672,4.205035460060512,2021-03-16,98958.32173686037,0.0,,
full_exit,237.0399932861328,4.205035460060512,2021-03-17,99955.08331408106,-2.817430222334224,,
long,249.07000732421875,8.026264132555132,2021-04-05,97955.98164779943,0.0,,
partial_exit,249.07000732421875,4.013132066277566,2021-04-05,98955.53248094024,0.0,,
full_exit,247.86000061035156,4.013132066277566,2021-04-06,99950.22739733722,-4.855916743836133,,
long,251.72000122070312,7.94138144864403,2021-05-25,97951.22284939047,0.0,,
partial_exit,251.72000122070312,3.970690724322015,2021-05-25,98950.72512336384,0.0,,
full_exit,251.4900054931641,3.970690724322015,2021-05-26,99949.31415543523,-0.9132419019879308,,
long,294.6000061035156,6.785425124554503,2021-08-16,97950.32787232652,0.0,,
partial_exit,294.6000061035156,3.3927125622772514,2021-08-16,98949.82101388088,0.0,,
full_exit,293.0799865722656,3.3927125622772514,2021-08-17,99944.15716607665,-5.1569893585838145,,
long,290.7300109863281,6.875393209459661,2021-08-18,97945.27402275511,0.0,,
partial_exit,290.7300109863281,3.4376966047298305,2021-08-18,98944.71559441587,0.0,,
partial_exit,296.7699890136719,1.7188483023649153,2021-08-19,99454.81818622487,0.0,,
full_exit,304.3599853515625,1.7188483023649153,2021-08-20,99977.96683035421,33.80966427756357,,
long,305.2200012207031,6.551206764333942,2021-09-16,97978.40749374713,0.0,,
partial_exit,305.2200012207031,3.275603382166971,2021-09-16,98978.18716205067,0.0,,
full_exit,299.8699951171875,3.275603382166971,2021-09-17,99960.44233226692,-17.524498087295797,,
