type,price,quantity,date,balance,profit,Metric,Value
long,96.19000244140624,20.792181611787484,2020-07-30,98000.0,0.0,,
partial_exit,96.19000244140624,10.396090805893742,2020-07-30,99000.0,0.0,,
partial_exit,106.26000213623048,5.198045402946871,2020-07-31,99552.34431562136,0.0,,
full_exit,108.9375,5.198045402946871,2020-08-03,100118.60638670488,118.6063867048797,,
long,116.79000091552734,17.1450647490138,2020-10-01,98116.23425897078,0.0,,
partial_exit,116.79000091552734,8.5725323745069,2020-10-01,99117.42032283783,0.0,,
full_exit,113.0199966430664,8.5725323745069,2020-10-02,100086.28790302719,-32.31848367769271,,
long,116.5,17.182195348159173,2020-10-05,98084.56214496665,0.0,,
partial_exit,116.5,8.591097674079586,2020-10-05,99085.42502399693,0.0,,
full_exit,113.16000366210938,8.591097674079586,2020-10-06,100057.59366825731,-28.694234769878676,,
long,115.08000183105467,17.38922350994549,2020-10-07,98056.44179489216,0.0,,
partial_exit,115.08000183105467,8.694611754972746,2020-10-07,99057.01773157473,0.0,,
full_exit,114.97000122070312,8.694611754972746,2020-10-08,100056.63725565748,-0.9564125998294912,,
long,116.31999969482422,17.203685955667968,2020-11-09,98055.50451054433,0.0,,
partial_exit,116.31999969482422,8.601842977833984,2020-11-09,99056.0708831009,0.0,,
full_exit,115.97000122070312,8.601842977833984,2020-11-10,100053.6266237406,-3.0106319168844493,,
long,119.48999786376952,16.74677854422789,2020-11-11,98052.55409126579,0.0,,
partial_exit,119.48999786376952,8.373389272113945,2020-11-11,99053.0903575032,0.0,,
full_exit,119.20999908447266,8.373389272113945,2020-11-12,100051.28208496583,-2.3445387747633504,,
long,119.26000213623048,16.77868192064552,2020-11-13,98050.25644326651,0.0,,
partial_exit,119.26000213623048,8.38934096032276,2020-11-13,99050.76926411617,0.0,,
partial_exit,120.3000030517578,4.19467048016138,2020-11-16,99555.3881356807,0.0,,
full_exit,119.38999938964844,4.19467048016138,2020-11-17,100056.18984174693,4.9077567811036715,,
long,123.08000183105467,16.258724139294166,2020-12-02,98055.06604491199,0.0,,
partial_exit,123.08000183105467,8.129362069647083,2020-12-02,99055.62794332945,0.0,,
full_exit,122.94000244140624,8.129362069647083,2020-12-03,100055.05173601894,-1.138105727994116,,
long,122.25,16.368924619389603,2020-12-04,98053.95070129856,0.0,,
partial_exit,122.25,8.184462309694801,2020-12-04,99054.50121865874,0.0,,
partial_exit,123.75,4.092231154847401,2020-12-07,99560.91482407111,0.0,,
full_exit,124.37999725341795,4.092231154847401,2020-12-08,100069.90652387138,14.854787852440495,,
long,130.88999938964844,15.290687904424502,2021-01-13,98068.50839339396,0.0,,
partial_exit,130.88999938964844,7.645343952212251,2021-01-13,99069.20745863268,0.0,,
full_exit,128.91000366210938,7.645343952212251,2021-01-14,100054.76877551044,-15.13774836093944,,
long,139.07000732421875,14.389122529094182,2021-01-22,98053.67340000023,0.0,,
partial_exit,139.07000732421875,7.194561264547091,2021-01-22,99054.22108775533,0.0,,
partial_exit,142.9199981689453,3.5972806322735456,2021-01-25,99568.34442913305,0.0,,
full_exit,143.16000366210938,3.5972806322735456,2021-01-26,100083.33113762297,28.5623621125269,,
short,121.26000213623048,16.507228991334436,2021-02-26,98081.66451487051,0.0,,
full_exit,127.79000091552734,16.507228991334436,2021-03-01,100191.12332278596,107.79218516299443,,
short,125.12000274658205,16.01520478315733,2021-03-02,98187.30085633024,0.0,,
full_exit,121.02999877929688,16.01520478315733,2021-03-12,100125.62107168596,-65.50225109999883,,
short,123.98999786376952,16.150596466933752,2021-03-15,98123.10865025225,0.0,,
full_exit,120.58999633789062,16.150596466933752,2021-03-25,100070.70901905454,-54.91205263142183,,
long,127.9000015258789,15.648273311209701,2021-04-07,98069.29483867345,0.0,,
partial_exit,127.9000015258789,7.824136655604851,2021-04-07,99070.00192886399,0.0,,
partial_exit,130.36000061035156,3.9120683278024253,2021-04-08,99579.97915846405,0.0,,
full_exit,133.0,3.9120683278024253,2021-04-09,100100.28424606177,29.575227007226204,,
short,124.69000244140624,16.055863707774076,2021-05-19,98098.27856114053,0.0,,
full_exit,124.27999877929688,16.055863707774076,2021-06-01,100093.70128314325,-6.582962918517296,,
long,130.47999572753906,15.342382673303156,2021-06-14,98091.82725748039,0.0,,
partial_exit,130.47999572753906,7.671191336651578,2021-06-14,99092.76427031182,0.0,,
full_exit,129.63999938964844,7.671191336651578,2021-06-15,100087.2575105132,-6.44377263005299,,
