date,balance,Type,type,price,quantity,date,Type,Metric,Value,Type,Date,Date,Open,High,Low,Close,Adj Close,Volume,bb_upper,bb_lower,kc_upper,kc_lower,chaikin,sma_100,signal_long,signal_short,buy_signal,sell_signal,Type
2020-01-02,98000.0,Performance,buy,17100.0,0.11695906432748537,2020-01-02,Trade History,Total Return,-0.2710607790870981,Metrics,,2020-01-02,17131.599609375,17164.599609375,17043.5,17100.0,17100.0,156213500.0,,,,,,,0.0,0.0,,,Data with Signals
2020-01-03,96040.0,Performance,buy,17066.099609375,0.11484756592673959,2020-01-03,Trade History,Annualized Return,-0.09832211498723409,Metrics,,2020-01-03,17054.80078125,17105.69921875,17033.19921875,17066.099609375,17066.099609375,185492100.0,,,,,,,0.0,0.0,,,Data with Signals
2020-01-06,94119.2,Performance,buy,17105.5,0.11229136827336236,2020-01-06,Trade History,Annualized Volatility,0.20995645184867742,Metrics,,2020-01-06,17042.30078125,17105.5,17041.19921875,17105.5,17105.5,195351800.0,,,,,,,0.0,0.0,,,Data with Signals
2020-01-07,92236.81599999999,Performance,buy,17168.099609375,0.10964428462263143,2020-01-07,Trade History,Max Drawdown,-0.3419960226147529,Metrics,,2020-01-07,17119.599609375,17178.0,17110.30078125,17168.099609375,17168.099609375,171935800.0,,,,,,,0.0,0.0,,,Data with Signals
2020-01-08,90392.07968,Performance,buy,17167.80078125,0.10745326926293021,2020-01-08,Trade History,Sharpe Ratio,-0.5635555085133215,Metrics,,2020-01-08,17172.69921875,17229.900390625,17164.599609375,17167.80078125,17167.80078125,246980100.0,,,,,,,0.0,0.0,,,Data with Signals
2020-01-09,88584.2380864,Performance,buy,17235.599609375,0.10488997392447295,2020-01-09,Trade History,,,,,2020-01-09,17205.900390625,17255.5,17201.30078125,17235.599609375,17235.599609375,222501200.0,,,,,,,0.0,0.0,,,Data with Signals
2020-01-10,86812.553324672,Performance,buy,17234.5,0.10279873287464099,2020-01-10,Trade History,,,,,2020-01-10,17223.19921875,17254.099609375,17187.19921875,17234.5,17234.5,192514100.0,,,,,,,0.0,0.0,,,Data with Signals
2020-01-13,87098.92218690664,Performance,buy,17293.400390625,0.10039963380681839,2020-01-13,Trade History,,,,,2020-01-13,17237.599609375,17301.80078125,17198.900390625,17293.400390625,17293.400390625,268086800.0,,,,,,,0.0,0.0,,,Data with Signals
2020-01-14,87349.88211480096,Performance,sell,17293.400390625,0.11695906432748537,2020-01-13,Trade History,,,,,2020-01-14,17288.599609375,17356.5,17281.30078125,17352.900390625,17352.900390625,235495600.0,,,,,,,0.0,0.0,,,Data with Signals
2020-01-15,85602.88447250494,Performance,buy,17352.900390625,0.10038543439569597,2020-01-14,Trade History,,,,,2020-01-15,17364.80078125,17421.69921875,17345.099609375,17415.19921875,17415.19921875,207645200.0,,,,,371921730.10927546,,0.0,0.0,,,Data with Signals
2020-01-16,85854.21898676857,Performance,sell,17352.900390625,0.11484756592673959,2020-01-14,Trade History,,,,,2020-01-16,17443.5,17489.599609375,17438.5,17484.80078125,17484.80078125,261420600.0,,,,,426822254.7274113,,0.0,0.0,,,Data with Signals
2020-01-17,86062.37860072198,Performance,buy,17415.19921875,0.10031453676482331,2020-01-15,Trade History,,,,,2020-01-17,17507.69921875,17572.19921875,17502.400390625,17559.0,17559.0,224673300.0,,,,,454929594.9620267,,0.0,0.0,,,Data with Signals
2020-01-20,88041.01969325292,Performance,buy,17484.80078125,0.09791691142892751,2020-01-16,Trade History,,,,,2020-01-20,17548.099609375,17620.19921875,17538.400390625,17597.400390625,17597.400390625,111821100.0,,,,,440816976.67079043,,0.0,0.0,,,Data with Signals
2020-01-21,88123.35747012617,Performance,sell,17484.80078125,0.11229136827336236,2020-01-16,Trade History,,,,,2020-01-21,17551.5,17589.5,17536.30078125,17572.30078125,17572.30078125,241563100.0,,,,,422132291.02094936,,0.0,0.0,,,Data with Signals
