date,balance,Type,type,price,quantity,date,Type,Metric,Value,Type,Date,Date,Open,High,Low,Close,Adj Close,Volume,bb_upper,bb_lower,kc_upper,kc_lower,chaikin,sma_100,signal_long,signal_short,buy_signal,sell_signal,Type
2020-02-05,85741.84584206626,Performance,buy,7586.0,0.22719447005809906,2020-01-24,Trade History,,,,,2020-02-05,7439.7998046875,7512.39990234375,7408.5,7482.5,7482.5,818911400.0,7748.975596933583,7308.414393300792,7680.054879528783,7331.398013928954,-61787445.145580634,,0.0,0.0,,,Data with Signals
2020-02-06,85772.25924393647,Performance,sell,7586.0,0.22848394592732668,2020-01-24,Trade History,,,,,2020-02-06,7482.5,7533.60009765625,7482.5,7504.7998046875,7504.7998046875,673947900.0,7742.17506169534,7305.88489924216,7673.0972719546135,7338.179118257149,17024877.934730276,,0.0,0.0,,,Data with Signals
2020-02-07,85809.74641738077,Performance,buy,7412.10009765625,0.23255121577279567,2020-01-27,Trade History,,,,,2020-02-07,7504.7998046875,7506.2998046875,7441.10009765625,7466.7001953125,7466.7001953125,705974200.0,7735.4138964863905,7300.526093747985,7665.859399327983,7338.000229018373,-513007.15239607915,,0.0,0.0,,,Data with Signals
2020-02-10,87596.05179948,Performance,sell,7412.10009765625,0.22844561307366174,2020-01-27,Trade History,,,,,2020-02-10,7466.7001953125,7466.7001953125,7427.89990234375,7446.89990234375,7446.89990234375,612817500.0,7723.947047545833,7294.922923157292,7652.396645894961,7340.9810944838855,-11662759.905766254,,0.0,0.0,,,Data with Signals
2020-02-11,87591.11947598762,Performance,sell,7412.10009765625,0.22351846928108132,2020-01-27,Trade History,,,,,2020-02-11,7446.89990234375,7529.5,7446.89990234375,7499.39990234375,7499.39990234375,700689800.0,7711.448529015728,7295.121441687397,7653.558879396036,7340.335248059824,45296030.264993094,,0.0,0.0,,,Data with Signals
2020-02-12,85839.29708646786,Performance,buy,7480.7001953125,0.2347666723546105,2020-01-28,Trade History,,,,,2020-02-12,7499.39990234375,7547.7001953125,7499.0,7534.39990234375,7534.39990234375,573044200.0,7696.6495625018415,7299.0804179669085,7651.486633069628,7349.541368408294,147219886.60374653,,0.0,0.0,,,Data with Signals
2020-02-13,85869.6935160729,Performance,sell,7480.7001953125,0.22484754515979555,2020-01-28,Trade History,,,,,2020-02-13,7534.39990234375,7534.39990234375,7406.89990234375,7452.0,7452.0,823565400.0,7682.799109790437,7297.150890209564,7656.77362039633,7335.013619036075,98872205.35350928,,0.0,0.0,,,Data with Signals
2020-02-14,85895.75969751508,Performance,buy,7483.60009765625,0.23447739436941387,2020-01-29,Trade History,,,,,2020-02-14,7452.0,7472.89990234375,7403.7001953125,7409.10009765625,7409.10009765625,629855000.0,7652.674712516829,7300.725287483171,7646.366562427037,7328.888577565377,-99026003.16084869,,0.0,0.0,,,Data with Signals
2020-02-17,87623.94386708431,Performance,buy,7382.0,0.23295046740356354,2020-01-30,Trade History,,,,,2020-02-17,7409.10009765625,7450.0,7409.10009765625,7433.2998046875,7433.2998046875,394565700.0,7623.161214917542,7308.428775316834,7633.864947850652,7331.042046368675,-147961992.71604893,,0.0,0.0,,,Data with Signals
2020-02-18,87558.2423121991,Performance,sell,7382.0,0.22469807127143476,2020-01-30,Trade History,,,,,2020-02-18,7433.2998046875,7433.2998046875,7353.39990234375,7382.0,7382.0,786827200.0,7600.804193750198,7307.915776952927,7625.096838977972,7320.676155791896,-225656226.9477801,,0.0,0.0,,,Data with Signals
