type,price,quantity,date,balance,profit,Metric,Value
long,98.30999755859376,20.343810900900284,2018-05-24,98000.0,0.0,,
full_exit,98.38999938964844,20.343810900900284,2018-06-25,100001.6275421227,1.627542122703744,,
long,101.8499984741211,19.63704055774374,2018-07-09,98001.59499128025,0.0,,
full_exit,106.87000274658205,19.63704055774374,2018-08-20,100100.20556962106,98.57802749835537,,
long,109.5999984741211,18.266461124679097,2018-08-27,98098.20145822864,0.0,,
full_exit,113.9800033569336,18.266461124679097,2018-09-26,100180.21275853885,80.00718891779252,,
long,112.12999725341795,17.86858382456353,2018-10-05,98176.60850336807,0.0,,
full_exit,106.16000366210938,17.86858382456353,2018-10-10,100073.53742762044,-106.67533091841324,,
long,107.72000122070312,18.580307518300867,2018-11-06,98072.06667906803,0.0,,
full_exit,101.70999908447266,18.580307518300867,2018-11-20,99961.86973974363,-111.66768787680485,,
long,111.12000274658205,17.991696772671,2018-11-28,97962.63234494877,0.0,,
full_exit,104.81999969482422,17.991696772671,2018-12-07,99848.52199516952,-113.3477445741155,,
long,106.9000015258789,18.680733502327907,2019-02-14,97851.55155526612,0.0,,
partial_exit,117.6500015258789,9.340366751163954,2019-03-19,98950.44571779283,0.0,,
full_exit,117.5199966430664,9.340366751163954,2019-03-20,100048.12558703462,199.60359186510323,,
long,128.07000732421875,15.623974367980686,2019-05-17,98047.16307529392,0.0,,
full_exit,119.83999633789062,15.623974367980686,2019-06-03,99919.54010633603,-128.58548069858807,,
long,125.83000183105467,15.881671883068515,2019-06-05,97921.1493042093,0.0,,
partial_exit,138.89999389648438,7.9408359415342575,2019-07-12,99024.1313680214,0.0,,
full_exit,138.89999389648438,7.9408359415342575,2019-07-15,100127.11343183348,207.5733254974475,,
long,140.19000244140625,14.284487008791167,2019-07-25,98124.57116319682,0.0,,
full_exit,132.2100067138672,14.284487008791167,2019-08-05,100013.12328653324,-113.99014530023851,,
long,135.27999877929688,14.786091689681351,2019-08-07,98012.86082080258,0.0,,
full_exit,139.10000610351562,14.786091689681351,2019-09-06,100069.6062650844,56.48297855115379,,
long,137.52000427246094,14.553461773724484,2019-09-09,98068.2141397827,0.0,,
full_exit,138.24000549316406,14.553461773724484,2019-10-09,100080.08477532693,10.478510242537595,,
long,139.94000244140625,14.303284697630486,2019-10-24,98078.48307982039,0.0,,
partial_exit,154.52999877929688,7.151642348815243,2019-12-13,99183.62636325278,0.0,,
full_exit,155.52999877929688,7.151642348815243,2019-12-16,100295.92128903398,215.83651370705047,,
short,150.6199951171875,13.317743266556386,2020-03-09,98290.0028632533,0.0,,
full_exit,160.9199981689453,13.317743266556386,2020-03-10,100433.09408532204,137.1727962880541,,
short,139.05999755859375,14.444570091841685,2020-03-12,98424.4322036156,0.0,,
full_exit,158.8300018310547,14.444570091841685,2020-03-13,100718.66329775161,285.5692124295747,,
short,135.4199981689453,14.87500585727353,2020-03-16,98704.29003179658,0.0,,
full_exit,146.57000732421875,14.87500585727353,2020-03-17,100884.51974924497,165.85645149335323,,
short,135.97999572753906,14.838141332403872,2020-03-23,98866.82935426007,0.0,,
full_exit,148.33999633789062,14.838141332403872,2020-03-24,101067.91918516997,183.3994359250064,,
short,156.11000061035156,12.94829527769129,2020-03-26,99046.56080146658,0.0,,
full_exit,165.27000427246094,12.94829527769129,2020-04-06,101186.5256173317,118.60643216173048,,
long,178.83999633789062,11.315872029672306,2020-05-04,99162.79510498507,0.0,,
full_exit,185.36000061035156,11.315872029672306,2020-06-03,101260.30515131178,73.77953398007958,,
long,182.9199981689453,11.071540144865686,2020-06-04,99235.09904828554,0.0,,
partial_exit,201.91000366210935,5.535770072432843,2020-06-23,100352.82640388305,0.0,,
full_exit,197.83999633789065,5.535770072432843,2020-06-24,101448.02313474056,187.71798342878174,,
long,211.6000061035156,9.58865975505802,2020-07-20,99419.06267204575,0.0,,
full_exit,209.6999969482422,9.58865975505802,2020-08-19,101429.80459341915,-18.218541321417433,,
long,212.4600067138672,9.548131543648196,2020-10-01,99401.20850155076,0.0,,
full_exit,202.3300018310547,9.548131543648196,2020-11-02,101333.08197426025,-96.72261915889976,,
short,211.0800018310547,9.601391045596612,2020-11-18,99306.42033477504,0.0,,
