Date,Open,High,Low,Close,Adj Close,Volume,bb_upper,bb_lower,kc_upper,kc_lower,chaikin,sma_100,signal_long,signal_short,buy_signal,sell_signal
2020-01-02,9039.4599609375,9093.4296875,9010.8896484375,9092.1904296875,9092.1904296875,2862700000,,,,,,,0,0,0,0
2020-01-03,8976.4296875,9065.759765625,8976.4296875,9020.76953125,9020.76953125,2586520000,,,,,,,0,0,0,0
2020-01-06,8943.5,9072.41015625,8943.5,9071.4697265625,9071.4697265625,2810450000,,,,,,,0,0,0,0
2020-01-07,9076.6396484375,9091.9296875,9042.5498046875,9068.580078125,9068.580078125,2381740000,,,,,,,0,0,0,0
2020-01-08,9068.0302734375,9168.8896484375,9059.3798828125,9129.240234375,9129.240234375,2472620000,,,,,,,0,0,0,0
2020-01-09,9202.26953125,9215.9501953125,9158.5,9203.4296875,9203.4296875,2540960000,,,,,,,0,0,0,0
2020-01-10,9232.9501953125,9235.2001953125,9164.66015625,9178.8603515625,9178.8603515625,2382900000,,,,,,,0,0,0,0
2020-01-13,9213.7197265625,9274.490234375,9193.0595703125,9273.9296875,9273.9296875,2536820000,,,,,,,0,0,0,0
2020-01-14,9270.6103515625,9298.330078125,9226.490234375,9251.330078125,9251.330078125,2553160000,,,,,,,0,0,0,0
2020-01-15,9253.759765625,9298.8203125,9231.1396484375,9258.7001953125,9258.7001953125,2443220000,,,,,1568456636.21702,,0,0,0,0
2020-01-16,9313.4501953125,9357.919921875,9301.3203125,9357.1298828125,9357.1298828125,2312110000,,,,,1957377135.2925196,,0,0,0,0
2020-01-17,9392.3701171875,9393.48046875,9346.8095703125,9388.9404296875,9388.9404296875,2542540000,,,,,2590134178.1137486,,0,0,0,0
2020-01-21,9361.0703125,9397.580078125,9350.2001953125,9370.8095703125,9370.8095703125,2686610000,,,,,2502363091.081394,,0,0,0,0
2020-01-22,9413.6103515625,9439.2900390625,9375.1298828125,9383.76953125,9383.76953125,2454580000,,,,,1668302259.276825,,0,0,0,0
2020-01-23,9377.7197265625,9409.2001953125,9334.1298828125,9402.48046875,9402.48046875,2465850000,,,,,1819559469.3659801,,0,0,0,0
2020-01-24,9446.2099609375,9451.4296875,9273.23046875,9314.91015625,9314.91015625,2622970000,,,,,1271848325.0137463,,0,0,0,0
2020-01-27,9092.4599609375,9185.4501953125,9088.0400390625,9139.3095703125,9139.3095703125,2593910000,,,,,975618203.6312428,,0,0,0,0
2020-01-28,9201.8203125,9288.8701171875,9182.330078125,9269.6796875,9269.6796875,2169020000,,,,,1207260628.5978012,,0,0,0,0
2020-01-29,9318.259765625,9329.1201171875,9249.0400390625,9275.16015625,9275.16015625,2234620000,,,,,945087909.0501728,,0,0,0,0
2020-01-30,9211.150390625,9303.0,9185.1796875,9298.9296875,9298.9296875,2345370000,9468.982908888676,9005.979005173824,9435.934904399672,9039.027009662828,1446611088.2634773,,0,0,0,0
2020-01-31,9324.330078125,9324.7998046875,9123.2197265625,9150.9404296875,9150.9404296875,2696090000,9465.883805136496,9014.953108926004,9447.188778831845,9011.289225260418,898359918.3618317,,0,0,0,0
2020-02-03,9190.7197265625,9299.849609375,9188.5498046875,9273.400390625,9273.400390625,2427320000,9454.953024134062,9051.146975865937,9459.001157038336,9007.888540116568,997663713.5238476,,0,0,0,0
2020-02-04,9398.3896484375,9485.3798828125,9374.0498046875,9467.9697265625,9467.9697265625,2447340000,9477.41479389667,9068.33520610333,9500.232352647781,9011.328749837608,1482739438.4498253,,0,0,0,0
2020-02-05,9574.099609375,9574.9404296875,9454.9296875,9508.6796875,9508.6796875,2470240000,9501.454755633058,9088.305205304441,9523.896049717041,9035.83631681736,1464448503.2699547,,0,0,0,0
2020-02-06,9540.98046875,9575.66015625,9505.6796875,9572.150390625,9572.150390625,2313860000,9541.969736132874,9092.081240429625,9541.82131432732,9073.584234560945,1986213503.534109,,0,0,0,0
2020-02-07,9526.6396484375,9570.08984375,9496.5302734375,9520.509765625,9520.509765625,2243720000,9568.02813861416,9097.73084576084,9554.195474867576,9101.744739007523,1770638953.793087,,0,0,0,0
